"ISBN";"Book-Title";"Book-Author";"Year-Of-Publication";"Publisher";"Image-URL"
"030V";"Thương Nhớ Người Dưng";"Dương Thùy";"2018";"NXB Lao Động";"https://cdn0.fahasa.com/media/wysiwyg/hieu_kd/2023-08-frame/FrameAds_03_1080X1080.png"
"031V";"Ngày Tháng Nào Đã Ra Đi";"Hồng Bối";"2020";"NXB Lao Động";"https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_56133.jpg"
"032V";"Hoa Giữa Trời";"Nguyên Sinh";"2022";"NXB Lao Động";"https://cdn0.fahasa.com/media/catalog/product/8/9/8935280911055.jpg"
"033V";"Chúng Ta Rồi Sẽ Hạnh Phúc, Theo Những Cách Khác Nhau";"Thảo Thảo";"2021";"NXB Văn Học";"https://cdn0.fahasa.com/media/catalog/product/1/3/139990755_1302883240068333_3844579474690419303_n.jpg"
"034V";"Làm Bạn Với Bầu Trời - Tặng Kèm Khung Hình Xinh Xắn";"Nguyễn Nhật Ánh";"2019";"NXB Trẻ";"https://cdn0.fahasa.com/media/catalog/product/u/n/untitled-2_44.jpg"
"035V";"Chưa Kịp Lớn Đã Trưởng Thành (Tái Bản 2023)";"Tớ Là Mây";"2023";"Dân Trí";"https://cdn0.fahasa.com/media/catalog/product/9/7/9726a839a056959e94aba54e7c1ff0d6_1_1.jpg"
"036V";"Đi Hết Một Đời Anh Vẫn Là Của Em (Tái Bản)";"Lan Rùa";"2021";"NXB Dân Trí";"https://cdn0.fahasa.com/media/catalog/product/9/7/9786043445084.jpg"
"037V";"Màu Xanh Trong Suốt";"Ryu Murakami";"2022";"Dân Trí";"https://cdn0.fahasa.com/media/wysiwyg/hieu_kd/2023-08-frame/FrameAds_03_1080X1080.png"
"038V";"Lén Nhặt Chuyện Đời";"Mộc Trầm";"2022";"Thế Giới";"https://cdn0.fahasa.com/media/catalog/product/9/7/9786043651591_1.jpg"
"039V";"Bức Thư Tình Có Vị Ngọt Của Bánh";"Thái La";"2020";"Thế Giới";"https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_55416.jpg"
"040V";"Đợi Một Danh Phận, Cả Đời Oán Hận";"Lan Rùa";"2022";"NXB Dân Trí";"https://cdn0.fahasa.com/media/catalog/product/z/3/z3491985714441_56cba2c936e26f0e7e3ace97a786b4fd-_1_.jpg"
"041V";"Chuyện Kể Rằng Có Nàng Và Tôi";"Nhiều Tác Giả";"2022";"NXB Phụ Nữ Việt Nam";"https://cdn0.fahasa.com/media/catalog/product/b/i/bia_chuyen-ke-rang-co-nang-va-toi_final.jpg"
"042V";"Tôi Có Triệu Chứng Cứ Yêu Em";"Nhiều Tác Giả";"2023";"NXB Phụ Nữ Việt Nam";"https://cdn0.fahasa.com/media/catalog/product/t/c/tctccye.jpg"
"043V";"Chắc Gì Ta Đã Yêu Nhau (Tái Bản 2022)";"Minh Nhật";"2022";"Phụ Nữ Việt Nam";"https://cdn0.fahasa.com/media/catalog/product/c/h/ch_c-g_-ta-_-y_u-nhau-_t_i-b_n-2022_b_a-s_ch.jpg"
